* ******************************************************************************

* iCEcube Pin Table

* Version:            2016.02.27810

* Build Date:         Jan 28 2016 17:38:31

* File Generated:     Jun 5 2016 21:32:02

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX8K
Package, CT256

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
A1, PIO, LED_o[3], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
A2, PIO, LED_o[2], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
A3, VCCIO_0, not used, , , , , , topBank
A4, GND, not used, , , , , , UnknownBank
A5, PIO, not used, , , , , , topBank
A6, PIO, not used, , , , , , topBank
A7, PIO, not used, , , , , , topBank
A8, VCCIO_0, not used, , , , , , topBank
A9, PIO, not used, , , , , , topBank
A10, PIO, not used, , , , , , topBank
A11, PIO, not used, , , , , , topBank
A12, GND, not used, , , , , , UnknownBank
A13, VCCIO_0, not used, , , , , , topBank
A14, VCC, not used, , , , , , UnknownBank
A15, PIO, not used, , , , , , topBank
A16, PIO, not used, , , , , , topBank
B1, PIO, not used, , , , , , leftBank
B2, PIO, not used, , , , , , leftBank
B3, PIO, LED_o[6], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
B4, PIO, LED_o[1], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
B5, PIO, LED_o[0], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
B6, PIO, not used, , , , , , topBank
B7, PIO, not used, , , , , , topBank
B8, PIO, not used, , , , , , topBank
B9, PIO, not used, , , , , , topBank
B10, PIO, RS232_RX_i, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
B11, PIO, not used, , , , , , topBank
B12, PIO, not used, , , , , , topBank
B13, PIO, not used, , , , , , topBank
B14, PIO, not used, , , , , , topBank
B15, PIO, not used, , , , , , topBank
B16, PIO, not used, , , , , , rightBank
C1, PIO, not used, , , , , , leftBank
C2, PIO, not used, , , , , , leftBank
C3, PIO, LED_o[7], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
C4, PIO, LED_o[5], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
C5, PIO, LED_o[4], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
C6, PIO, not used, , , , , , topBank
C7, PIO, not used, , , , , , topBank
C8, PIO_GBIN, not used, , , , , , topBank
C9, PIO, not used, , , , , , topBank
C10, PIO, not used, , , , , , topBank
C11, PIO, not used, , , , , , topBank
C12, PIO, not used, , , , , , topBank
C13, PIO, not used, , , , , , topBank
C14, PIO, not used, , , , , , topBank
C15, VCCIO_1, not used, , , , , , rightBank
C16, PIO, not used, , , , , , rightBank
D1, PIO, not used, , , , , , leftBank
D2, PIO, not used, , , , , , leftBank
D3, PIO, not used, , , , , , topBank
D4, PIO, not used, , , , , , topBank
D5, PIO, not used, , , , , , topBank
D6, PIO, not used, , , , , , topBank
D7, PIO, not used, , , , , , topBank
D8, PIO, not used, , , , , , topBank
D9, PIO, not used, , , , , , topBank
D10, PIO, not used, , , , , , topBank
D11, PIO, not used, , , , , , topBank
D12, VPP_DIRECT, not used, , , , , , UnknownBank
D13, PIO, not used, , , , , , topBank
D14, PIO, not used, , , , , , rightBank
D15, PIO, not used, , , , , , rightBank
D16, PIO, not used, , , , , , rightBank
E1, VCCIO_3, not used, , , , , , leftBank
E2, PIO, not used, , , , , , leftBank
E3, PIO, not used, , , , , , leftBank
E4, PIO, not used, , , , , , leftBank
E5, PIO, not used, , , , , , topBank
E6, PIO, not used, , , , , , topBank
E7, AGND_TOP, not used, , , , , , UnknownBank
E8, AVDD_TOP, not used, , , , , , UnknownBank
E9, PIO, not used, , , , , , topBank
E10, PIO, not used, , , , , , topBank
E11, PIO, not used, , , , , , topBank
E12, VPP_PUMP, not used, , , , , , UnknownBank
E13, PIO, not used, , , , , , rightBank
E14, PIO, not used, , , , , , rightBank
E15, GND, not used, , , , , , UnknownBank
E16, PIO, not used, , , , , , rightBank
F1, PIO, not used, , , , , , leftBank
F2, PIO, not used, , , , , , leftBank
F3, PIO, not used, , , , , , leftBank
F4, PIO, not used, , , , , , leftBank
F5, PIO, not used, , , , , , leftBank
F6, VCC, not used, , , , , , UnknownBank
F7, PIO_GBIN, not used, , , , , , topBank
F8, VCCIO_0, not used, , , , , , topBank
F9, PIO, not used, , , , , , topBank
F10, VCC, not used, , , , , , UnknownBank
F11, PIO, not used, , , , , , rightBank
F12, PIO, not used, , , , , , rightBank
F13, PIO, not used, , , , , , rightBank
F14, PIO, not used, , , , , , rightBank
F15, PIO, not used, , , , , , rightBank
F16, PIO, not used, , , , , , rightBank
G1, PIO_GBIN, not used, , , , , , leftBank
G2, PIO, not used, , , , , , leftBank
G3, PIO, not used, , , , , , leftBank
G4, PIO, not used, , , , , , leftBank
G5, PIO, not used, , , , , , leftBank
G6, VCCIO_3, not used, , , , , , leftBank
G7, GND, not used, , , , , , UnknownBank
G8, GND, not used, , , , , , UnknownBank
G9, GND, not used, , , , , , UnknownBank
G10, PIO, not used, , , , , , rightBank
G11, PIO, not used, , , , , , rightBank
G12, PIO, not used, , , , , , rightBank
G13, PIO, not used, , , , , , rightBank
G14, PIO, not used, , , , , , rightBank
G15, PIO, not used, , , , , , rightBank
G16, PIO, not used, , , , , , rightBank
H1, PIO, not used, , , , , , leftBank
H2, PIO, not used, , , , , , leftBank
H3, PIO, not used, , , , , , leftBank
H4, PIO, not used, , , , , , leftBank
H5, PIO, not used, , , , , , leftBank
H6, PIO, not used, , , , , , leftBank
H7, GND, not used, , , , , , UnknownBank
H8, GND, not used, , , , , , UnknownBank
H9, GND, not used, , , , , , UnknownBank
H10, VCCIO_1, not used, , , , , , rightBank
H11, PIO_GBIN, not used, , , , , , rightBank
H12, PIO, not used, , , , , , rightBank
H13, PIO, not used, , , , , , rightBank
H14, PIO, not used, , , , , , rightBank
H15, VCCIO_1, not used, , , , , , rightBank
